"Geslacht";"Leeftijd";"Vervoerwijzen";"Reismotieven";"Marges";"Perioden";"Ritten per persoon per dag (gemiddeld) (aantal)";"Afgelegde afstand per rit (gemiddeld) (km)";"Reisduur per rit (Minuten)"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2019*";2,97;11,64;24,18
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2020*";2,48;9,67;24,46
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2021*";2,62;10;26,03
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2022*";2,86;10,22;24,88
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2023*";2,93;10,59;24,63
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"1999*";0,59;14,78;24,83
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2000*";0,59;14,85;24,77
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2001*";0,58;14,87;24,82
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2002*";0,59;14,83;24,63
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2003*";0,58;14,93;24,72
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2004*";0,61;14,76;24,56
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2005*";0,6;15,18;24,9
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2006*";0,61;15,28;24,95
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2007*";0,61;15,49;25,15
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2008*";0,62;14,99;24,52
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2009*";0,61;15,16;24,68
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2010*";0,63;15,26;24,72
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2011*";0,62;15,53;24,82
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2012*";0,61;15,54;24,78
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2013*";0,61;15,64;24,62
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2014*";0,62;15,81;24,87
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2015*";0,61;15,97;24,78
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2016*";0,61;15,93;24,89
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2017*";0,62;16,11;25,1
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2018*";0,64;16,12;24,84
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2019*";0,61;16,13;24,83
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2020*";0,41;14,64;23,17
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2021*";0,41;15,18;23,86
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2022*";0,48;15,59;24,55
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2023*";0,51;15,74;25,03
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"1999*";0,73;4,96;14,97
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2000*";0,71;5,02;14,92
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2001*";0,71;5;14,71
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2002*";0,71;5,02;14,66
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2003*";0,7;5,1;14,71
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2004*";0,7;5,07;14,7
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2005*";0,68;5,06;14,69
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2006*";0,67;5,03;14,54
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2007*";0,65;5,18;14,6
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2008*";0,64;4,89;14,37
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2009*";0,64;5;14,46
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2010*";0,65;5,09;14,52
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2011*";0,61;5,17;14,45
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2012*";0,62;5,05;14,34
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2013*";0,62;5,07;14,31
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2014*";0,63;5,1;14,36
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2015*";0,61;5,14;14,48
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2016*";0,6;5,06;14,2
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2017*";0,59;5,22;14,34
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2018*";0,59;5,21;14,3
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2019*";0,57;5,36;14,35
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2020*";0,57;4,33;12,66
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2021*";0,57;4,43;13,27
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2022*";0,6;4,7;13,61
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2023*";0,6;5,01;14,1
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"1999*";0,3;6,85;17,64
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2000*";0,3;7;17,85
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2001*";0,29;6,95;17,72
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2002*";0,29;6,97;17,71
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2003*";0,29;7,01;17,86
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2004*";0,3;6,88;17,64
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2005*";0,29;6,94;17,87
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2006*";0,3;6,88;17,84
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2007*";0,3;6,91;17,91
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2008*";0,29;6,87;17,77
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2009*";0,29;6,86;17,67
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2010*";0,3;6,9;17,74
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2011*";0,3;6,94;17,84
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2012*";0,29;7,04;18,05
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2013*";0,29;7,05;18,07
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2014*";0,29;7,18;18,36
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2015*";0,29;7,29;18,38
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2016*";0,29;7,3;18,55
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2017*";0,28;7,32;18,75
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018*";0,28;7,33;18,63
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019*";0,28;7,28;18,58
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020*";0,17;6,73;18,39
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2021*";0,17;6,66;18,53
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2022*";0,22;7,01;19,13
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2023*";0,23;7,16;19,41
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"1999*";1,19;12,42;31,37
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2000*";1,17;12,39;31,45
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2001*";1,15;12,5;31,5
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2002*";1,14;12,63;31,31
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2003*";1,15;12,66;31,6
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2004*";1,15;12,97;31,52
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2005*";1,13;12,9;31,6
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2006*";1,12;12,73;31,84
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2007*";1,1;12,67;32,03
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2008*";1,06;12,58;31,64
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2009*";1,11;12,59;31,67
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2010*";1,09;12,56;31,45
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2011*";1,05;12,93;32,1
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2012*";1,08;12,81;32,15
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2013*";1,1;13;31,68
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2014*";1,11;13,07;32,53
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2015*";1,07;13,16;32,7
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2016*";1,06;13,14;32,59
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2017*";1,03;13,28;32,46
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2018*";1,07;13,42;32,7
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2019*";1,05;13,5;32,59
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2020*";0,93;10,99;36,22
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2021*";1,03;11,49;38,55
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2022*";1,11;11,54;34,86
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Vrije tijd";"Waarde";"2023*";1,12;11,91;33,59
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"1999*";0,59;13,76;21,22
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2000*";0,58;13,65;20,94
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2001*";0,57;13,48;20,9
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2002*";0,58;13,26;20,61
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2003*";0,58;13,11;20,52
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2004*";0,54;12,67;20,31
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2005*";0,53;12,49;20,22
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2006*";0,55;12,31;20,05
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2007*";0,54;12,11;20,19
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2008*";0,55;11,7;19,75
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2009*";0,55;11,71;19,76
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2010*";0,53;11,91;20
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2011*";0,51;12,2;19,96
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2012*";0,51;12;19,92
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2013*";0,5;11,77;19,67
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2014*";0,48;11,5;19,53
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2015*";0,45;11,91;19,68
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2016*";0,43;11,89;19,66
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2017*";0,43;11,94;19,63
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2018*";0,45;11,55;19,27
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2019*";0,45;11,87;19,57
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2020*";0,4;10,22;17,72
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2021*";0,44;10,32;18,4
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2022*";0,46;10,18;18,54
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2023*";0,46;10,67;18,86
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"1999*";1,06;16,16;23,91
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2000*";1,05;16,25;23,92
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2001*";1,03;16,34;23,94
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2002*";1,05;16,33;23,89
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2003*";1,04;16,56;24,01
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2004*";1,04;16,61;24,13
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2005*";1,01;16,88;24,25
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2006*";1,01;16,99;24,31
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2007*";1,01;17,06;24,44
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2008*";0,99;16,92;24,37
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2009*";1;17,14;24,49
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2010*";1;17,29;24,59
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2011*";0,97;17,73;24,73
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2012*";0,98;17,63;24,73
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2013*";0,98;17,75;24,71
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2014*";0,97;17,92;24,84
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2015*";0,95;18,04;24,84
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2016*";0,93;18,12;24,92
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2017*";0,93;18,3;24,98
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2018*";0,95;18,58;25,05
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2019*";0,94;18,59;25
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2020*";0,79;16,03;22,53
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2021*";0,81;16,78;23,57
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2022*";0,86;17,22;24,11
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2023*";0,9;17,46;24,36
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"1999*";0,23;20,62;28,76
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2000*";0,24;20,84;28,79
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2001*";0,24;21,02;28,96
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2002*";0,24;21,06;28,91
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2003*";0,24;21,21;29,03
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2004*";0,24;21,48;29,15
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2005*";0,24;22,18;29,5
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2006*";0,25;22,33;29,64
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2007*";0,26;22,41;29,76
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2008*";0,26;22,26;29,57
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2009*";0,25;22,64;29,77
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2010*";0,26;22,88;29,91
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2011*";0,26;23,27;29,95
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2012*";0,26;23,3;29,92
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2013*";0,26;23,6;29,96
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2014*";0,26;24;30,16
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2015*";0,25;24,23;30,14
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2016*";0,25;24,31;30,26
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2017*";0,26;24,53;30,39
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2018*";0,27;24,81;30,33
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2019*";0,25;24,99;30,38
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2020*";0,19;22,18;27,25
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2021*";0,19;22,9;27,96
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2022*";0,21;24,08;29,49
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2023*";0,22;24,44;30,33
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"1999*";0,23;6,94;14,57
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2000*";0,23;7,02;14,55
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2001*";0,23;7,02;14,47
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2002*";0,24;6,98;14,47
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2003*";0,23;7,13;14,53
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2004*";0,23;7,14;14,59
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2005*";0,22;7,18;14,6
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2006*";0,22;7,19;14,56
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2007*";0,22;7,3;14,59
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2008*";0,21;7,1;14,54
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2009*";0,21;7,27;14,59
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2010*";0,21;7,39;14,71
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2011*";0,2;7,53;14,7
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2012*";0,21;7,39;14,69
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2013*";0,21;7,44;14,7
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2014*";0,21;7,55;14,75
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2015*";0,21;7,51;14,79
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2016*";0,2;7,47;14,7
