"Populatie";"Geslacht";"Persoonskenmerken";"Reismotieven";"Marges";"Perioden";"Regio's";"Gemiddeld per persoon per jaar/Verplaatsingen (aantal)";"Gemiddeld per persoon per jaar/Afstand (reizigerskilometers)";"Gemiddeld per persoon per jaar/Reisduur (uren)"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Zakelijk, beroepsmatig";"Waarde";"2023";"Nederland";"      31";"     821";"    17.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Diensten, persoonlijke verzorging";"Waarde";"2018";"Nederland";"      31";"     302";"    10.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Diensten, persoonlijke verzorging";"Waarde";"2019";"Nederland";"      31";"     267";"    10.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Diensten, persoonlijke verzorging";"Waarde";"2020";"Nederland";"      26";"     224";"     8.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Diensten, persoonlijke verzorging";"Waarde";"2021";"Nederland";"      32";"     271";"     9.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Diensten, persoonlijke verzorging";"Waarde";"2022";"Nederland";"      33";"     263";"    10.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Diensten, persoonlijke verzorging";"Waarde";"2023";"Nederland";"      32";"     272";"    10.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Winkelen, boodschappen doen";"Waarde";"2018";"Nederland";"     206";"    1141";"    51.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Winkelen, boodschappen doen";"Waarde";"2019";"Nederland";"     199";"    1142";"    50.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Winkelen, boodschappen doen";"Waarde";"2020";"Nederland";"     202";"     908";"    43.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Winkelen, boodschappen doen";"Waarde";"2021";"Nederland";"     205";"     944";"    46.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Winkelen, boodschappen doen";"Waarde";"2022";"Nederland";"     212";"    1041";"    49.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Winkelen, boodschappen doen";"Waarde";"2023";"Nederland";"     213";"    1113";"    51.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018";"Nederland";"      83";"     759";"    32.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019";"Nederland";"      81";"     750";"    31.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020";"Nederland";"      50";"     375";"    17.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2021";"Nederland";"      52";"     426";"    19.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2022";"Nederland";"      67";"     591";"    26.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2023";"Nederland";"      67";"     608";"    27.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Visite, logeren";"Waarde";"2018";"Nederland";"     107";"    2421";"    53.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Visite, logeren";"Waarde";"2019";"Nederland";"     100";"    2134";"    49.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Visite, logeren";"Waarde";"2020";"Nederland";"      87";"    1489";"    37.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Visite, logeren";"Waarde";"2021";"Nederland";"      94";"    1701";"    42.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Visite, logeren";"Waarde";"2022";"Nederland";"      96";"    1833";"    45.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Visite, logeren";"Waarde";"2023";"Nederland";"      98";"    1894";"    46.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Uitgaan, sport, hobby";"Waarde";"2018";"Nederland";"     187";"    2243";"    87.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Uitgaan, sport, hobby";"Waarde";"2019";"Nederland";"     186";"    2440";"    90.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Uitgaan, sport, hobby";"Waarde";"2020";"Nederland";"     131";"    1467";"    69.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Uitgaan, sport, hobby";"Waarde";"2021";"Nederland";"     137";"    1715";"    79.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Uitgaan, sport, hobby";"Waarde";"2022";"Nederland";"     175";"    2078";"    88.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Uitgaan, sport, hobby";"Waarde";"2023";"Nederland";"     182";"    2304";"    90.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Toeren, wandelen";"Waarde";"2018";"Nederland";"      64";"     600";"    70.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Toeren, wandelen";"Waarde";"2019";"Nederland";"      62";"     593";"    71.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Toeren, wandelen";"Waarde";"2020";"Nederland";"      99";"     759";"    99.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Toeren, wandelen";"Waarde";"2021";"Nederland";"     116";"     917";"   119.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Toeren, wandelen";"Waarde";"2022";"Nederland";"     102";"     749";"   100.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Toeren, wandelen";"Waarde";"2023";"Nederland";"      94";"     670";"    91.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Overige reismotieven";"Waarde";"2018";"Nederland";"     112";"    1079";"    32.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Overige reismotieven";"Waarde";"2019";"Nederland";"     106";"    1070";"    33.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Overige reismotieven";"Waarde";"2020";"Nederland";"     104";"     953";"    29.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Overige reismotieven";"Waarde";"2021";"Nederland";"     114";"    1024";"    33.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Overige reismotieven";"Waarde";"2022";"Nederland";"     116";"    1015";"    33.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Overige reismotieven";"Waarde";"2023";"Nederland";"     116";"    1075";"    34.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2018";"Nederland";"    1155";"    6529";"   367.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2019";"Nederland";"    1139";"    6234";"   357.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2020";"Nederland";"     944";"    4941";"   356.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2021";"Nederland";"    1022";"    5472";"   406.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2022";"Nederland";"    1051";"    5680";"   369.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2023";"Nederland";"    1038";"    6130";"   367.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"";"";""
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2022";"Nederland";"";"";""
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2023";"Nederland";"";"";""
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Zakelijk, beroepsmatig";"Waarde";"2018";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Zakelijk, beroepsmatig";"Waarde";"2019";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Zakelijk, beroepsmatig";"Waarde";"2020";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Zakelijk, beroepsmatig";"Waarde";"2021";"Nederland";"";"";""
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Zakelijk, beroepsmatig";"Waarde";"2022";"Nederland";"";"";""
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Zakelijk, beroepsmatig";"Waarde";"2023";"Nederland";"";"";""
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2018";"Nederland";"      15";"     111";"     4.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2019";"Nederland";"      13";"      53";"     3.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2020";"Nederland";"      11";"      61";"     2.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2021";"Nederland";"      14";"      68";"     3.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2022";"Nederland";"      15";"      74";"     4.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2023";"Nederland";"      14";"      91";"     3.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Winkelen, boodschappen doen";"Waarde";"2018";"Nederland";"      96";"     618";"    26.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Winkelen, boodschappen doen";"Waarde";"2019";"Nederland";"      82";"     478";"    21.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Winkelen, boodschappen doen";"Waarde";"2020";"Nederland";"      69";"     281";"    15.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Winkelen, boodschappen doen";"Waarde";"2021";"Nederland";"      76";"     296";"    18.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Winkelen, boodschappen doen";"Waarde";"2022";"Nederland";"      95";"     481";"    22.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Winkelen, boodschappen doen";"Waarde";"2023";"Nederland";"      92";"     555";"    23.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018";"Nederland";"     455";"     967";"    80.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019";"Nederland";"     453";"     957";"    79.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020";"Nederland";"     329";"     763";"    60.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2021";"Nederland";"     331";"     758";"    62.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2022";"Nederland";"     384";"     866";"    76.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2023";"Nederland";"     387";"     835";"    76.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Visite, logeren";"Waarde";"2018";"Nederland";"     124";"    1676";"    39.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Visite, logeren";"Waarde";"2019";"Nederland";"     130";"    1491";"    39.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Visite, logeren";"Waarde";"2020";"Nederland";"     133";"    1211";"    36.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Visite, logeren";"Waarde";"2021";"Nederland";"     134";"    1062";"    35.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Visite, logeren";"Waarde";"2022";"Nederland";"     119";"    1274";"    36.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Visite, logeren";"Waarde";"2023";"Nederland";"     121";"    1299";"    36.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Uitgaan, sport, hobby";"Waarde";"2018";"Nederland";"     370";"    2521";"   170.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Uitgaan, sport, hobby";"Waarde";"2019";"Nederland";"     373";"    2728";"   164.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Uitgaan, sport, hobby";"Waarde";"2020";"Nederland";"     297";"    1822";"   165.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Uitgaan, sport, hobby";"Waarde";"2021";"Nederland";"     339";"    2411";"   204.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Uitgaan, sport, hobby";"Waarde";"2022";"Nederland";"     333";"    2314";"   163.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Uitgaan, sport, hobby";"Waarde";"2023";"Nederland";"     327";"    2727";"   171.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Toeren, wandelen";"Waarde";"2018";"Nederland";"      31";"     200";"    31.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Toeren, wandelen";"Waarde";"2019";"Nederland";"      32";"     220";"    35.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Toeren, wandelen";"Waarde";"2020";"Nederland";"      50";"     380";"    58.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Toeren, wandelen";"Waarde";"2021";"Nederland";"      62";"     430";"    65.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Toeren, wandelen";"Waarde";"2022";"Nederland";"      43";"     281";"    46.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Toeren, wandelen";"Waarde";"2023";"Nederland";"      40";"     269";"    40.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Overige reismotieven";"Waarde";"2018";"Nederland";"      63";"     437";"    15.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Overige reismotieven";"Waarde";"2019";"Nederland";"      56";"     306";"    13.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Overige reismotieven";"Waarde";"2020";"Nederland";"      56";"     423";"    18.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Overige reismotieven";"Waarde";"2021";"Nederland";"      66";"     447";"    17.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Overige reismotieven";"Waarde";"2022";"Nederland";"      61";"     388";"    19.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Overige reismotieven";"Waarde";"2023";"Nederland";"      56";"     354";"    15.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2018";"Nederland";"     996";"    8495";"   419.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2019";"Nederland";"     962";"    8612";"   421.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2020";"Nederland";"     770";"    5701";"   329.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2021";"Nederland";"     858";"    6536";"   397.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2022";"Nederland";"     954";"    7363";"   408.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2023";"Nederland";"     969";"    8067";"   417.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"      77";"     395";"    21.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"      69";"       .";"    20.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"      59";"     199";"    15.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"      71";"     277";"    18.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2022";"Nederland";"      68";"     295";"    18.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2023";"Nederland";"      69";"     288";"    17.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Zakelijk, beroepsmatig";"Waarde";"2018";"Nederland";"       6";"      24";"     3.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Zakelijk, beroepsmatig";"Waarde";"2019";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Zakelijk, beroepsmatig";"Waarde";"2020";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Zakelijk, beroepsmatig";"Waarde";"2021";"Nederland";"       7";"       .";"     3.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Zakelijk, beroepsmatig";"Waarde";"2022";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Zakelijk, beroepsmatig";"Waarde";"2023";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2018";"Nederland";"      17";"     117";"     5.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2019";"Nederland";"      18";"     110";"     5.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2020";"Nederland";"      15";"      82";"     3.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2021";"Nederland";"      17";"     125";"     5.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2022";"Nederland";"      24";"     108";"     6.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2023";"Nederland";"      18";"     101";"     5.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Winkelen, boodschappen doen";"Waarde";"2018";"Nederland";"      98";"     683";"    29.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Winkelen, boodschappen doen";"Waarde";"2019";"Nederland";"      86";"     659";"    26.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Winkelen, boodschappen doen";"Waarde";"2020";"Nederland";"      94";"     412";"    23.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Winkelen, boodschappen doen";"Waarde";"2021";"Nederland";"      95";"     558";"    26.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Winkelen, boodschappen doen";"Waarde";"2022";"Nederland";"     105";"     555";"    28.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Winkelen, boodschappen doen";"Waarde";"2023";"Nederland";"     102";"     571";"    29.0"
